rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1402603720398687112,,22,,1402603720,398288458,fcu,,-4.8023480922e-07,1.61823362112e-05,4.41369891167e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603721464133116,,23,,1402603721,463723057,fcu,,-1.2141388841e-06,1.51836544275e-05,4.46710556746e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603724402489936,,24,,1402603724,402037734,fcu,,1.35452533141e-06,1.67649000883e-05,4.40479785204e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603725383694655,,25,,1402603725,383337749,fcu,,6.2062125653e-07,1.60158902407e-05,4.36919361353e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603726450033460,,26,,1402603726,449664491,fcu,,1.90495401621e-06,1.61823362112e-05,4.34249043465e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603729384444845,,27,,1402603729,383972928,fcu,,-9.01187136769e-06,1.46010890603e-05,4.3602925539e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603733386812695,,28,,1402603733,386366898,fcu,,6.30837902427e-06,1.57662183046e-05,4.48490738869e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603734458064780,,29,,1402603734,457688450,fcu,,-1.17640137672e-05,1.39353007078e-05,4.43150103092e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603737394293742,,30,,1402603737,393910479,fcu,,-6.62668198347e-06,1.53501003981e-05,4.28018301725e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603738380532360,,31,,1402603738,380193599,fcu,,-1.63509145379e-05,1.55997723341e-05,4.03095304966e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603741402847480,,32,,1402603741,402485065,fcu,,1.13539710641e-05,1.41849726439e-05,4.262380898e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603742382143178,,33,,1402603742,381867048,fcu,,-1.0846632719e-05,1.6931347549e-05,4.35139149427e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603745409359649,,34,,1402603745,409007855,fcu,,-5.06713576615e-06,1.51004299521e-05,4.48490738869e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603746386015513,,35,,1402603746,385521609,fcu,,-2.1315196529e-06,1.75971344113e-05,4.31578755379e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
