rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,len,seq,sysid,compid,msgid,fromlcm,payload64
1402603673814781490,,11646,,0,0,'',32,0,1,45,104,False,"[1402603673814498, 13772232470881555388L, 13545617031953380933L, 4502006455339746857]"
1402603673821714097,,11647,,0,0,'',32,0,1,45,104,False,"[1402603673821502, 13772238552555243137L, 13531205209062069926L, 4502556984249432291]"
1402603673831770072,,11648,,0,0,'',32,0,1,45,104,False,"[1402603673831525, 13772228167324332230L, 13458666986709033780L, 4502657284616559241]"
1402603673838763687,,11649,,0,0,'',32,0,1,45,104,False,"[1402603673838518, 13772229086447336660L, 13420965841094219818L, 4502845176555275904]"
1402603673846809097,,11650,,0,0,'',32,0,1,45,104,False,"[1402603673846520, 13772225826567155234L, 13508557275279730502L, 4502331103328645854]"
1402603673854735504,,11651,,0,0,'',32,0,1,45,104,False,"[1402603673854450, 13772227123647268081L, 13545866986165060892L, 4501454466146938410]"
1402603673863768583,,11652,,0,0,'',32,0,1,45,104,False,"[1402603673863469, 13772233024932329814L, 13542708454330690242L, 4502098135711710766]"
1402603673871808407,,11653,,0,0,'',32,0,1,45,104,False,"[1402603673871525, 13772227896741386338L, 13507260616063039309L, 4502611289813851438]"
1402603673879783200,,11654,,0,0,'',32,0,1,45,104,False,"[1402603673879523, 13772224529487033645L, 13391883475071640123L, 4502868141744950778]"
1402603673888778487,,11655,,0,0,'',32,0,1,45,104,False,"[1402603673888524, 13772227931101129132L, 13471597359415801794L, 4502853233916978813]"
1402603673897744313,,11656,,0,0,'',32,0,1,45,104,False,"[1402603673897527, 13772228897468766685L, 13529723007258285670L, 4502093119192479321]"
1402603673904843274,,11657,,0,0,'',32,0,1,45,104,False,"[1402603673904521, 13772234562530624873L, 13547883477605488073L, 4501932246896155336]"
1402603673912837231,,11658,,0,0,'',32,0,1,45,104,False,"[1402603673912506, 13772235034977024770L, 13532528213608017932L, 4502521739750305491]"
1402603673921777753,,11659,,0,0,'',32,0,1,45,104,False,"[1402603673921476, 13772230658405358221L, 13475939390963336884L, 4502697940783628593]"
1402603673929803078,,11660,,0,0,'',32,0,1,45,104,False,"[1402603673929558, 13772226462222317195L, 13429326360008070926L, 4502949978056908809]"
1402603673938857970,,11661,,0,0,'',32,0,1,45,104,False,"[1402603673938557, 13772224649746110850L, 13512020668187703503L, 4502404216559394171]"
1402603673946800744,,11662,,0,0,'',32,0,1,45,104,False,"[1402603673946550, 13772233020637363879L, 13544503677645954289L, 4501885633617394757]"
1402603673955770877,,11663,,0,0,'',32,0,1,45,104,False,"[1402603673955541, 13772241743715942335L, 13536798910043856369L, 4502350838706298255]"
1402603673962742980,,11664,,0,0,'',32,0,1,45,104,False,"[1402603673962560, 13772231371369919353L, 13514381512925998802L, 4502628353722081058]"
1402603673971803130,,11665,,0,0,'',32,0,1,45,104,False,"[1402603673971563, 13772221694808610426L, 13436155302174042204L, 4502778046220641109]"
1402603673979793519,,11666,,0,0,'',32,0,1,45,104,False,"[1402603673979557, 13772223374140820995L, 13479004266740886745L, 4502831106247146166]"
1402603673987833306,,11667,,0,0,'',32,0,1,45,104,False,"[1402603673987562, 13772223271061601709L, 13533551820278788706L, 4502599882387976000]"
1402603673996812773,,11668,,0,0,'',32,0,1,45,104,False,"[1402603673996513, 13772230061404893477L, 13548460021130356434L, 4502158930977892254]"
1402603674004831921,,11669,,0,0,'',32,0,1,45,104,False,"[1402603674004562, 13772227325510727185L, 13535116287886227586L, 4502837213689294467]"
1402603674028848289,,11670,,0,0,'',32,0,1,45,104,False,"[1402603674028579, 13772222386298347170L, 13444559870272560997L, 4502984788768759541]"
1402603674029782146,,11671,,0,0,'',32,0,1,45,104,False,"[1402603674029506, 13772219358346399541L, 13509487728404747371L, 4502461833547852990]"
1402603674038752620,,11672,,0,0,'',32,0,1,45,104,False,"[1402603674038535, 13772235460178787449L, 13540055027830111463L, 4502070939981360496]"
1402603674046756736,,11673,,0,0,'',32,0,1,45,104,False,"[1402603674046535, 13772234270472837496L, 13545293732585091937L, 4502769022492487669]"
