TIME_StartTime,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,IMU_MagX,IMU_MagY,IMU_MagZ,LPOS_X,LPOS_Y,LPOS_Z,LPOS_VX,LPOS_VY,LPOS_VZ,LPOS_RefLat,LPOS_RefLon,LPOS_RefAlt,LPOS_XYFlags,LPOS_ZFlags,LPOS_Landed,RC_Ch0,RC_Ch1,RC_Ch2,RC_Ch3,RC_Ch4,RC_Ch5,RC_Ch6,RC_Ch7,RC_Count,ATT_Roll,ATT_Pitch,ATT_Yaw,ATT_RollRate,ATT_PitchRate,ATT_YawRate,ATT_GX,ATT_GY,ATT_GZ
118510795,0.140825122595,0.30875992775,-9.35727310181,-0.0188370458782,0.0747086629272,-0.0157577209175,-0.143326759338,0.165152296424,0.518809139729,0.734353780746,-0.492160260677,-1.56737315655,0.124192118645,0.113590352237,-0.565219640732,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.756345152855,0.0198019798845,-1.0,0.937343358994,0.0,1.361144426e+14,7,0.00253885635175,0.000341743783792,-2.27719664574,-0.0263391342014,0.0608295723796,-0.00523521704599,0.140825122595,0.30875992775,-9.35727310181
118533188,1.31544804573,0.239164948463,-10.2240839005,-0.00894456356764,0.00794310215861,0.0203181412071,-0.135070338845,0.1584944278,0.508127868176,0.737427175045,-0.489735156298,-1.58033692837,0.136212930083,0.0686922743917,-0.566970705986,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0051282052882,0.757614195347,0.0198019798845,-1.0,0.937343358994,0.0,1.361144426e+14,7,0.00197292608209,0.00143982376903,-2.27671575546,-0.0121090626344,0.0334893167019,0.00528500461951,1.31544804573,0.239164948463,-10.2240839005
118554201,0.211585819721,-0.517473042011,-10.0469007492,-0.0311898104846,0.0012898320565,0.0289886780083,-0.142409384251,0.163487836719,0.513468503952,0.740816891193,-0.487993508577,-1.59640967846,0.11924110353,0.0642746686935,-0.569886147976,0.0,0.0,0.0,3,3,1,0.0935960561037,0.0025641026441,0.756345152855,0.0222772285342,-1.0,0.937343358994,0.0,1.361144426e+14,7,0.00175013777334,0.00207602069713,-2.27652645111,-0.0126203317195,0.022562943399,0.00955950282514,0.211585819721,-0.517473042011,-10.0469007492
118575246,-1.04732620716,-0.86635363102,-9.98267555237,-0.0474189706147,0.0180750228465,0.0279985982925,-0.136905103922,0.175139114261,0.499226868153,0.744258999825,-0.486562103033,-1.60960948467,0.155238211155,0.0676721632481,-0.571342408657,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.756345152855,0.0198019798845,-1.0,0.937343358994,0.0,1.361144426e+14,7,0.00136255472898,0.00254061142914,-2.27583742142,-0.0273040626198,0.0193668920547,0.0168288592249,-1.04732620716,-0.86635363102,-9.98267555237
118597169,-0.425742447376,0.35310164094,-9.51072978973,-0.0182776786387,0.0630229786038,-0.0309079214931,-0.144244149327,0.168481230736,0.504567444324,0.748016476631,-0.484822809696,-1.62379908562,0.126337319613,0.0802599340677,-0.573184609413,0.0,0.0,0.0,3,3,1,0.0935960561037,0.0025641026441,0.755076169968,0.0198019798845,-1.0,0.937343358994,0.0,1.361144426e+14,7,0.000808348879218,0.00325781200081,-2.27606987953,-0.0279488507658,0.041040122509,-0.00635453732684,-0.425742447376,0.35310164094,-9.51072978973
118617708,0.72233080864,0.755312800407,-9.60417366028,-0.000506650365423,0.0463268570602,-0.0386602282524,-0.145161524415,0.159326657653,0.509018003941,0.749373912811,-0.483823984861,-1.6319693327,0.106840580702,0.0862108618021,-0.57444691658,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.755076169968,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,0.000318500271533,0.00393542321399,-2.27622532845,-0.0182449948043,0.0392785035074,-0.014905789867,0.72233080864,0.755312800407,-9.60417366028
118639226,1.39292407036,0.628368914127,-10.000087738,-0.0234178192914,0.0176970437169,-0.00296983541921,-0.136905103922,0.167649000883,0.501007020473,0.752329647541,-0.481595575809,-1.64550447464,0.136472016573,0.0961001366377,-0.575567424297,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.755076169968,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.000315733341267,0.0044685183093,-2.27587628365,-0.030885444954,0.0268122609705,-0.00759071949869,1.39292407036,0.628368914127,-10.000087738
118661055,-0.632080495358,-0.866704761982,-9.85493850708,-0.0544982030988,0.010746431537,0.035045966506,-0.144244149327,0.155997723341,0.513468503952,0.755914151669,-0.479274451733,-1.66286158562,0.165354594588,0.0966107398272,-0.578158318996,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.752538084984,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.0010365905473,0.005005185958,-2.2766699791,-0.0369630753994,0.0204223543406,0.010807310231,-0.632080495358,-0.866704761982,-9.85493850708
118682227,-1.21404469013,-0.832678556442,-9.4304599762,-0.0377719923854,0.0341990366578,0.0197206884623,-0.140574634075,0.146010890603,0.517919063568,0.759919822216,-0.477001130581,-1.67511105537,0.172605410218,0.0870411768556,-0.578325331211,0.0,0.0,0.0,3,3,1,0.0935960561037,0.0025641026441,0.752538084984,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.00139619072434,0.00550522888079,-2.27745056152,-0.0237127374858,0.0275506414473,0.0162732936442,-1.21404469013,-0.832678556442,-9.4304599762
118703432,-1.00654757023,-0.203879162669,-9.42457866669,-0.00259947683662,0.0501577742398,-0.0245463475585,-0.138739868999,0.162655591965,0.502787232399,0.761816322803,-0.475967973471,-1.67939555645,0.152215436101,0.0856689810753,-0.577173769474,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.75,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.00149719405454,0.00612064916641,-2.27746748924,-0.00539361918345,0.036284212023,-0.00131210777909,-1.00654757023,-0.203879162669,-9.42457866669
